# This is an example datafile for the program balli.c 
# 
0.000 432
0.017 439
0.033 447
0.050 455
0.067 462
0.083 470
0.100 478
0.117 486
0.133 494
0.150 503
0.167 511
0.183 519
0.200 528
0.217 536
0.233 545
0.250 554
0.267 562
0.283 571
0.300 580
0.317 589
0.333 598
0.350 607
0.367 617
0.383 626
0.400 635
0.417 645
0.433 655
0.450 664
0.467 674
0.483 684
0.500 694
0.517 704
0.533 714
0.550 724
0.567 734
0.583 745
0.600 755
0.617 766
0.633 776
0.650 787
0.667 798
0.683 809
0.700 820
0.717 831
0.733 842
0.750 853
0.767 865
0.783 876
0.800 888
0.817 899
0.833 911
0.850 923
0.867 934
0.883 946
0.900 958
0.917 971
0.933 983
0.950 995
0.967 1008
0.983 1020
1.000 1033
1.017 1045
1.033 1058
1.050 1071
1.067 1084
1.083 1097
1.100 1110
1.117 1123
1.133 1137
1.150 1150
